country,target,par,mean,hpd_l,hpd_r,non_trivial,gni,median_age
BRB,impact,treat_bxm0524,-4.572802770369192,-7.564762111596725,-1.2241860242271194,1,22870.0,38.7
BRN,impact,treat_bxm0524,-3.8042613441270845,-6.8890649701256335,-0.5391769867390099,1,34480.0,31.3
BTN,impact,treat_bxm0524,-3.2339818344143403,-6.231791778276858,0.10320282007412374,0,,28.8
BWA,impact,treat_bxm0524,-5.123357823748689,-8.028345958082056,-1.8552461726236498,1,8340.0,22.6
CAF,impact,treat_bxm0524,-3.311165071892267,-6.2337469088812005,0.04293891552456053,0,530.0,14.3
CAN,impact,treat_bxm0524,-6.443451909941315,-9.442269589916306,-3.16923260629515,1,54040.0,40.3
CHE,impact,treat_bxm0524,-7.087869301461858,-9.993137555753602,-3.7286528824370286,1,95070.0,42.0
CHL,impact,treat_bxm0524,-5.977213734698772,-8.801240646838608,-2.4856895524167957,1,15800.0,35.5
CHN,impact,treat_bxm0524,-4.512854415015522,-7.513128000542138,-1.1992611196079626,1,13390.0,38.5
CIV,impact,treat_bxm0524,-3.407232118313771,-6.299773606905234,-0.13409306543395694,1,2470.0,18.0
CMR,impact,treat_bxm0524,-3.336889570308756,-6.332846855969368,-0.06295686639097298,1,1690.0,17.6
COD,impact,treat_bxm0524,-3.3316126225599145,-6.342157041948071,-0.16156916108496766,1,630.0,15.8
COG,impact,treat_bxm0524,-4.118318549415429,-7.022183976667615,-0.1612906608710798,1,2450.0,18.2
COL,impact,treat_bxm0524,-4.9114014000266035,-7.847205285651033,-1.5152798319871952,1,6810.0,31.2
COM,impact,treat_bxm0524,-2.890452906882267,-5.839967345149703,0.45899569250617667,0,1610.0,20.1
CPV,impact,treat_bxm0524,-3.417045288419688,-6.546754602906182,-0.19705589755377595,1,4780.0,27.3
CRI,impact,treat_bxm0524,-5.730832558199831,-8.617336147041879,-2.4511851113792957,1,14260.0,33.5
CUB,impact,treat_bxm0524,-5.876360330640109,-8.880130328302247,-2.667554838257008,1,,41.5
CYP,impact,treat_bxm0524,-4.695901739692378,-7.80638611120494,-1.5056613586538532,1,32960.0,37.3
CZE,impact,treat_bxm0524,-6.4896871607425535,-9.636030140673169,-3.184971212023486,1,27370.0,42.6
DEU,impact,treat_bxm0524,-6.241257119144514,-9.267486168355052,-2.86975361465492,1,54800.0,45.0
DJI,impact,treat_bxm0524,-5.474732803881068,-8.60736902279647,-2.24038761681906,1,3400.0,24.1
DNK,impact,treat_bxm0524,-7.344394224055984,-10.356179347129217,-4.045772422594824,1,73340.0,41.2
DOM,impact,treat_bxm0524,-5.037448350971175,-8.012600246150502,-1.6824898308753387,1,9710.0,27.3
DZA,impact,treat_bxm0524,-3.994247723894363,-7.029831004252933,-0.6990421892945982,1,4950.0,28.0
ECU,impact,treat_bxm0524,-5.001533777886076,-8.010031694863548,-1.6446834705217377,1,6590.0,28.0
EGY,impact,treat_bxm0524,-3.8122926622307602,-6.891141765322487,-0.6265390763927936,1,3840.0,23.8
ERI,impact,treat_bxm0524,-3.8457944869740652,-6.90242870490042,-0.5638314645210869,1,,18.4
ESP,impact,treat_bxm0524,-6.3739519007439895,-9.3486672346266,-3.05047683806135,1,32830.0,44.4
EST,impact,treat_bxm0524,-4.958176463746863,-7.931141135015243,-1.6755279725546934,1,27620.0,41.6
ETH,impact,treat_bxm0524,-3.7023478200726974,-6.634836288404679,-0.3006611968075994,1,1110.0,18.5
FIN,impact,treat_bxm0524,-7.349441339962507,-10.410514392811532,-3.831801458891931,1,53230.0,42.5
FJI,impact,treat_bxm0524,-3.379574151890381,-6.27061846589998,0.004591433070688211,0,5680.0,27.5
FRA,impact,treat_bxm0524,-5.7772036132897275,-8.76226092939962,-2.3954609395572586,1,45180.0,41.6
GAB,impact,treat_bxm0524,-4.042213605545598,-7.3139940611030845,-0.8321648566967408,1,7930.0,21.5
GBR,impact,treat_bxm0524,-5.94822502818211,-8.760859966056286,-2.454952454096391,1,47700.0,39.5
GEO,impact,treat_bxm0524,-6.786360122079394,-9.85105638097934,-3.3880914812583622,1,6710.0,36.6
GHA,impact,treat_bxm0524,-4.125563941355468,-7.121026370917199,-0.8122550160524575,1,2360.0,20.7
GIN,impact,treat_bxm0524,-3.140242495471897,-6.0981691935693405,0.1306389044720344,0,1350.0,17.8
GMB,impact,treat_bxm0524,-2.6776381476854585,-5.7091798764458765,0.5832636460798586,0,870.0,18.0
GNB,impact,treat_bxm0524,-3.1692919285459933,-6.313471565856629,0.10382882953763328,0,940.0,18.7
GNQ,impact,treat_bxm0524,-4.071102172250297,-7.137099289531864,-0.7946934880964633,1,4840.0,21.0
GRC,impact,treat_bxm0524,-7.838018683483849,-10.991948274134327,-4.601090945710991,1,22590.0,45.4
GTM,impact,treat_bxm0524,-3.675847770569858,-6.804519247834074,-0.4753707184176097,1,5480.0,22.2
GUY,impact,treat_bxm0524,-3.65559695826569,-6.513415753764341,-0.274515566408132,1,13600.0,25.3
HKG,impact,treat_bxm0524,-7.85129738840541,-10.900520295528398,-4.676763950852708,1,55170.0,45.6
HND,impact,treat_bxm0524,-4.654619526552727,-7.549136606012413,-1.3879502511625113,1,2890.0,23.2
HRV,impact,treat_bxm0524,-7.417775888744654,-10.466805725492787,-4.0879143565065625,1,20590.0,44.6
HTI,impact,treat_bxm0524,-4.468378559191832,-7.536496291105022,-1.267750759122924,1,1760.0,23.3
HUN,impact,treat_bxm0524,-6.6321989800334435,-9.66918615511645,-3.3029931076915915,1,19670.0,43.0
IDN,impact,treat_bxm0524,-4.475457275859744,-7.540947344207879,-1.1190054383124632,1,4810.0,29.6
IND,impact,treat_bxm0524,-3.641621886773925,-6.628264944619097,-0.3640720375801969,1,2540.0,27.7
IRL,impact,treat_bxm0524,-6.70043689858203,-9.63931260951133,-3.2802818900440993,1,78970.0,38.0
IRN,impact,treat_bxm0524,-5.096744177485789,-8.12210799483272,-1.7418852909228537,1,4650.0,32.3
IRQ,impact,treat_bxm0524,-2.974665379220065,-5.975767507219476,0.20358513827931013,0,5640.0,20.1
ISL,impact,treat_bxm0524,-4.542530769203937,-7.531713702046973,-1.3134134203467447,1,80400.0,35.7
ISR,impact,treat_bxm0524,-6.3172699680653555,-9.37495096705495,-3.0797253808999017,1,54650.0,29.1
ITA,impact,treat_bxm0524,-6.34210698273478,-9.388641399144792,-3.0283327052361706,1,37920.0,47.1
JAM,impact,treat_bxm0524,-6.155110072304435,-9.124309316827318,-2.9215300731322547,1,6200.0,31.2
